Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Marita,Svensson,Backgränd 65,Trelleborg,75537,Sverige,SE,19480202-4667,+46,08-72 49 57,1948-02-02,True
Jason,Merritt,Richard Point 7223,Matthewfort,34544,Danmark,DK,19990727-7418,+45,+1-472-723-7942x5184,1999-07-27,True
Louise,Larsson,Asptorget 7,Lidingö,38171,Sverige,SE,19660908-7620,+46,096-488 65 49,1966-09-08,True
Steven,Brown,Baldwin Alley 22876,New Jessicaburgh,13755,Danmark,DK,19750115-3294,+45,+1-546-362-2174x7482,1975-01-15,True
Sebastian,Antonsen,Hageneggen 3C,Frankvær,9987,Norge,NO,19400505-4557,+47,17 56 11 85,1940-05-05,True
Katarzyna,Olofsson,Aspvägen 623,Karlskrona,43524,Sverige,SE,19820324-6239,+46,097-458 69 60,1982-03-24,True
Alexander,Hauge,Moeløkka 58B,Thomasvær,9167,Norge,NO,19620626-3284,+47,+4721501765,1962-06-26,True
Elisabet,Lövgren,Trädgårdsvägen 1,Piteå,76906,Sverige,SE,19520311-7335,+46,+46 (0)8 225 388 18,1952-03-11,True
Emil,Kristiansson,Industrivägen 498,Uppsala,49037,Sverige,SE,19770220-9603,+46,025-867 34 38,1977-02-20,True
Lukas,Gunnarsson,Grantorget 375,Västerås,13013,Sverige,SE,19810820-9954,+46,0202-61 95 02,1981-08-20,True
Kristiina,Kujala,Berganbulevardi 764,Vaala,21171,Finland,FI,19780518-135P,+358,+358897182448,1978-05-18,True
Siri,Moe,Pedersenspranget 49,Pedersen,4088,Norge,NO,19810116-5317,+47,63851109,1981-01-16,True
Elly,Hansson,Kyrkogatan 61,Eskilstuna,61032,Sverige,SE,19910220-2485,+46,023-35 96 68,1991-02-20,True
Elin,Andersson,Ängsgatan 2,Uddevalla,55232,Sverige,SE,19950726-3833,+46,0853-961 58,1995-07-26,True
Joshua,Henry,Stewart Track 124,South Melissafort,16131,Danmark,DK,19780101-3830,+45,001-606-361-8133x193,1978-01-01,True
David,Lawson,Garrett Freeway 5547,Mcgrathburgh,92343,Danmark,DK,19671025-9341,+45,(390)910-1112x927,1967-10-25,True
Marie,Wester,Skogsgränd 13,Malmö,74784,Sverige,SE,19470521-1875,+46,+46 (0)999 738 33,1947-05-21,True
Sigrid,Strand,Knudsenlia 73,Gretheodden,8941,Norge,NO,19880227-3742,+47,43456111,1988-02-27,True
Roy,Sandvik,Hansenringen 783,Gunnarvik,6283,Norge,NO,19940108-5616,+47,+47 36 89 46 55,1994-01-08,True
Malin,Vik,Birkelandengen 2,Moen,2996,Norge,NO,19460905-4377,+47,+4743189945,1946-09-05,True
Kjell,Jensen,Christensenengen 9,Tangen,7818,Norge,NO,19900831-7561,+47,48552098,1990-08-31,True
Carolin,Holgersson,Björkstigen 56,Luleå,93642,Sverige,SE,19521223-8299,+46,0317-583 69,1952-12-23,True
Jacqueline,Fowler,Maria Vista 89776,Grahambury,07484,Danmark,DK,19940421-0689,+45,717.543.9698,1994-04-21,True
Ann-Mari,Ljung,Parkgränd 96,Ängelholm,43820,Sverige,SE,19460622-5537,+46,08-504 57 18,1946-06-22,True
Ove,Burman,Skolstigen 852,Karlskrona,85870,Sverige,SE,19680103-4234,+46,08-971 53 07,1968-01-03,True
Edward,Nilsson,Ängsvägen 088,Halmstad,15855,Sverige,SE,19430403-0417,+46,08-41 49 86,1943-04-03,True
Beatrice,Burman,Björkvägen 054,Falun,24904,Sverige,SE,20001222-8848,+46,002-078 79 91,2000-12-22,True
Filip,Lindahl,Strandvägen 1,Uppsala,27000,Sverige,SE,19880930-8531,+46,+46 (0)57 01 42 88,1988-09-30,True
Elvira,Forsberg,Nygränd 7,Gävle,91227,Sverige,SE,19860916-2603,+46,08-53 93 79,1986-09-16,True
August,Linder,Parkstigen 18,Uppsala,68982,Sverige,SE,19970105-9773,+46,08-270 023 13,1997-01-05,True
Kaisa,Lehtola,Sadekatu 8,Suonenjoki,98599,Finland,FI,19630508-759H,+358,(+358) 556091416,1963-05-08,True
Mikael,Hult,Grangatan 107,Lidingö,37796,Sverige,SE,19810627-8616,+46,08-12 24 46,1981-06-27,True
Alexander,Ødegård,Moegjerdet 8,Nielsen,8888,Norge,NO,19750113-9593,+47,33399574,1975-01-13,True
Jessica,Gaines,Young Curve 856,Jonathanport,03869,Danmark,DK,19720221-0040,+45,453-747-8227,1972-02-21,True
Stephen,Morgan,Cathy Key 11450,West Bruce,11081,Danmark,DK,19870627-2393,+45,689-938-0427,1987-06-27,True
Arild,Abrahamsen,Næssholtet 6,Isaksen,8518,Norge,NO,19730828-8608,+47,43210075,1973-08-28,True
Lennart,Mårtensson,Fabriksvägen 015,Stockholm,34359,Finland,SE,19511018-5933,+46,0623-89 54 32,1951-10-18,True
Maria,Eriksson,Ekgatan 443,Halmstad,88895,Sverige,SE,19700724-0707,+46,0299-10 65 30,1970-07-24,True
Sondre,Andresen,Eliassenvollen 829,Engen,7121,Norge,NO,20000721-2532,+47,938 47 871,2000-07-21,True
Sven,Nilsson,Ängsvägen 64,Kristianstad,56734,Sverige,SE,19831220-7106,+46,079-104 88 26,1983-12-20,True
Olof,Larsson,Parkvägen 1,Ängelholm,65248,Sverige,SE,19600718-8991,+46,003-42 32 32,1960-07-18,True
Petra,Bäckström,Backtorget 2,Landskrona,93408,Sverige,SE,19451103-4009,+46,+46 (0)998 426 69,1945-11-03,True
Tom,Solberg,Rasmussenhaugen 9,Berg,8179,Norge,NO,19621230-0494,+47,72072057,1962-12-30,True
Folke,Khan,Åkerstigen 50,Gävle,67996,Sverige,SE,19850821-0312,+46,0955-77 40 99,1985-08-21,True
Martta,Savolainen,Louhenbulevardi 5,Värdö,19011,Finland,FI,19760905-889T,+358,(+358) 285610048,1976-09-05,True
Märtha,Nilsson,Backgatan 867,Sundsvall,79206,Sverige,SE,19651020-2971,+46,08-053 00 67,1965-10-20,True
Stefan,Andersson,Aspvägen 1,Lidköping,65186,Sverige,SE,19951212-7808,+46,0643-186 56,1995-12-12,True
Bo,Svensson,Kyrkvägen 766,Borås,62451,Sverige,SE,19780710-6543,+46,+46 (0)8 189 065 00,1978-07-10,True
Ellinor,Forsberg,Kyrkovägen 9,Växjö,53340,Sverige,SE,19510718-4851,+46,+46 (0)8 562 160 37,1951-07-18,True
Caroline,Johansson,Industritorget 90,Uppsala,74058,Sverige,SE,19720814-9409,+46,08-507 406 24,1972-08-14,True
Adam,Bäckström,Skolvägen 137,Lidköping,12541,Sverige,SE,19840821-9464,+46,08-43 28 68,1984-08-21,True
Sissel,Tveit,Knudsenløkka 4,Pedersen,7769,Norge,NO,20000414-4781,+47,25 91 13 47,2000-04-14,True
Lene,Martinsen,Isaksenrøa 5,Stigstrøm,3053,Norge,NO,19850115-5173,+47,87 99 46 62,1985-01-15,True
Camilla,Aune,Kristiansenskogen 77,Martinsen,6357,Norge,NO,19891208-0594,+47,99 86 53 33,1989-12-08,True
Valter,Lundblad,Furugatan 77,Luleå,58177,Sverige,SE,19900401-7536,+46,08-922 19 70,1990-04-01,True
Karl,Järvenpää,Veropellonkuja 904,Sottunga,55093,Finland,FI,19531122-702V,+358,+358 26 8772276,1953-11-22,True
Lova,Lindström,Trädgårdsgatan 155,Gävle,76227,Sverige,SE,19850716-0221,+46,+46 (0)54 00 82 05,1985-07-16,True
Maj,Pettersson,Strandgatan 643,Norrköping,10458,Sverige,SE,19820627-7786,+46,0699-900 88,1982-06-27,True
Christer,Andersson,Industrigatan 5,Södertälje,53945,Sverige,SE,19631019-3395,+46,0265-14 01 99,1963-10-19,True
Susanne,Persson,Järnvägsgränd 110,Växjö,54222,Sverige,SE,20001225-0292,+46,0882-383 68,2000-12-25,True
Peter,Svensson,Storvägen 558,Norrköping,29321,Sverige,SE,19670926-6450,+46,+46 (0)221 232 84,1967-09-26,True
Erika,Lindholm,Skolgatan 114,Lidingö,39849,Sverige,SE,19751215-1405,+46,0133-174 48,1975-12-15,True
Helena,Soininen,Vellikellonpolku 067,Pedersören kunta,93879,Finland,FI,19910406-2487,+358,0923189600,1991-04-06,True
Gunborg,Jakobsson,Backgränd 98,Sundsvall,99057,Sverige,SE,19801111-8665,+46,0501-05 10 48,1980-11-11,True
Erin,Hogan,Rocha Land 8307,New Dustinburgh,67622,Danmark,DK,19400625-9207,+45,(652)969-1866x3391,1940-06-25,True
Jesse,Mason,Alexander Row 54734,New Jordan,08976,Danmark,DK,19551222-1835,+45,8946045057,1955-12-22,True
Airi,Vainio,Elonkatu 2,Naantali,27577,Finland,FI,19870624-702E,+358,(+358) 014398442,1987-06-24,True
Göran,Larsson,Järnvägsstigen 572,Umeå,81766,Sverige,SE,19961215-4937,+46,039-323 84 67,1996-12-15,True
Kenneth,Jenssen,Kristiansenlyngen 08B,Franknes,5894,Norge,NO,19860120-5643,+47,07 20 43 52,1986-01-20,True
Siv,Hjalmarsson,Björkgränd 7,Uddevalla,20170,Sverige,SE,19670921-0341,+46,08-11 68 85,1967-09-21,True
Kåre,Nielsen,Ruudplassen 114,Birkeland,5701,Norge,NO,19830924-5209,+47,95004022,1983-09-24,True
Linnea,Sandberg,Åkergränd 0,Ängelholm,28313,Sverige,SE,19690909-2250,+46,08-23 11 40,1969-09-09,True
Vilde,Madsen,Andresenberget 10,Karinfjord,8141,Norge,NO,19800623-1668,+47,41697896,1980-06-23,True
John,Nguyen,Strandkroken 59,Andreassen,3989,Norge,NO,19890530-8267,+47,967 03 524,1989-05-30,True
Martin,Andresen,Kristensenberget 56,Eliassen,7423,Norge,NO,19590921-8262,+47,08511859,1959-09-21,True
Oscar,Nilsson,Bäckvägen 222,Lidingö,88279,Sverige,SE,19720916-7955,+46,0022-93 95 83,1972-09-16,True
Dan,Jansson,Furustigen 11,Sandviken,94936,Sverige,SE,19760224-5693,+46,08-93 67 74,1976-02-24,True
Susan,White,Jamie Neck 7364,New Markside,76095,Finland,DK,19930903-1774,+45,(873)439-3212x0408,1993-09-03,True
Emil,Dahl,Bakkenskogen 03,Thomassen,9479,Norge,NO,19440130-0372,+47,95542710,1944-01-30,True
Petteri,Niemelä,Rapolankatu 753,Kaarina,15595,Finland,FI,19800706-320E,+358,+358062038243,1980-07-06,True
Grace,Baxter,Cuevas Springs 6006,West Philliphaven,40846,Danmark,DK,19480618-8932,+45,(493)668-1459x922,1948-06-18,True
Mari,Törnqvist,Idrottsstigen 4,Södertälje,59942,Sverige,SE,19930130-2017,+46,063-74 47 26,1993-01-30,True
Åsa,Söderlund,Skolstigen 373,Umeå,74478,Sverige,SE,19420423-9965,+46,08-318 797 68,1942-04-23,True
Hans,Dahlström,Stortorget 653,Trollhättan,30346,Sverige,SE,19630820-2725,+46,021-854 69 51,1963-08-20,True
Tobias,Lantz,Ängsvägen 65,Kalmar,71906,Sverige,SE,19980703-2499,+46,+46 (0)314 165 81,1998-07-03,True
Roger,Mathisen,Sørensenbakken 4,Hanneby,9709,Norge,NO,19830709-2756,+47,81571310,1983-07-09,True
Maria,Ellingsen,Bakkengropa 10,Kåreborg,8980,Norge,NO,19960809-5727,+47,973 72 105,1996-08-09,True
Sven,Karlsson,Kvarnvägen 81,Malmö,86055,Sverige,SE,19871003-6975,+46,+46 (0)922 518 81,1987-10-03,True
Sondre,Kristiansen,Vikbakken 972,Andresen,1415,Norge,NO,19870710-2721,+47,46621208,1987-07-10,True
Amanda,Mueller,Eric Fork 686,Troymouth,51179,Danmark,DK,19840516-6945,+45,+1-741-203-7100,1984-05-16,True
Arild,Knutsen,Hansensvingen 3,Berge,3914,Norge,NO,19931021-2660,+47,+4711437943,1993-10-21,True
Karin,Lindqvist,Skolgränd 119,Södertälje,50964,Sverige,SE,19700124-9761,+46,086-32 33 27,1970-01-24,True
Joel,Adolfsson,Industrivägen 957,Piteå,81240,Sverige,SE,19570707-3396,+46,08-545 447 45,1957-07-07,True
Jan,Halonen,Rapolanpolku 78,Eckerö,18134,Finland,FI,19420908-064E,+358,0121778149,1942-09-08,True
Fatima,Nilsson,Björkgatan 50,Örnsköldsvik,10549,Sverige,SE,19730918-5198,+46,+46 (0)8 715 338 37,1973-09-18,True
Pernilla,Hansen,Järnvägstorget 2,Skellefteå,74309,Sverige,SE,19651203-9629,+46,+46 (0)324 411 10,1965-12-03,True
Marie,Moberg,Parkgatan 481,Umeå,63889,Sverige,SE,19860712-6013,+46,+46 (0)318 069 56,1986-07-12,True
Clara,Holmberg,Åkervägen 79,Örnsköldsvik,50782,Sverige,SE,19741105-1774,+46,0622-388 54,1974-11-05,True
Eva,Linder,Grangatan 081,Borlänge,16986,Sverige,SE,19440418-7742,+46,08-013 43 55,1944-04-18,True
Hanna,Aas,Birkelandlunden 88,Sandvik,5564,Norge,NO,19601217-9178,+47,482 93 590,1960-12-17,True
Maria,Karlsson,Ängsstigen 16,Mölndal,16345,Sverige,SE,19600608-6634,+46,0151-134 74,1960-06-08,True
Kerstin,Johansson,Storvägen 11,Göteborg,99304,Sverige,SE,19460829-4823,+46,078-428 36 76,1946-08-29,True
Birgitta,Palmqvist,Kyrkovägen 196,Malmö,19267,Sverige,SE,19511126-2352,+46,+46 (0)225 243 80,1951-11-26,True
Max,Fredriksson,Villagatan 106,Mölndal,11124,Sverige,SE,19551106-5684,+46,027-32 19 23,1955-11-06,True
Jacqueline,Moreno,Eric Manor 05476,Port Dana,95876,Danmark,DK,19560729-8227,+45,+1-844-583-4568x49695,1956-07-29,True
Henrikki,Laaksonen,Agnetankuja 02,Korsnäs,06980,Finland,FI,19950725-013N,+358,+358 807035479,1995-07-25,True
Johanna,Nordlund,Backvägen 2,Växjö,72419,Sverige,SE,19660620-0552,+46,+46 (0)8 208 850 58,1966-06-20,True
Mikael,Falk,Bäckvägen 11,Sandviken,69172,Sverige,SE,19490814-7338,+46,0138-672 58,1949-08-14,True
Stefan,Kristensson,Storgatan 4,Göteborg,25492,Sverige,SE,19430508-0144,+46,+46 (0)134 108 66,1943-05-08,True
Nora,Paulsen,Johansenskogen 62,Lenemark,6125,Norge,NO,19890819-1803,+47,21326988,1989-08-19,True
Maria,Lehtola,Katajaharjunkuja 3,Vöyri,07762,Finland,FI,19550308-872P,+358,026 218 9583,1955-03-08,True
Terri,Barrett,Emily Ridges 8851,West Ryanburgh,97578,Danmark,DK,19980801-3843,+45,(838)574-7162,1998-08-01,True
Hilda,Pihl,Kvarnstigen 332,Jönköping,45687,Sverige,SE,19480809-5661,+46,+46 (0)8 962 133 90,1948-08-09,True
Marjatta,Asikainen,Fagottipolku 1,Hanko,44942,Finland,FI,19780126-8639,+358,+358038063907,1978-01-26,True
Andreas,Nilsson,Skolvägen 54,Borås,52537,Sverige,SE,19730201-2124,+46,0028-06 10 80,1973-02-01,True
Jennifer,Brooks,Russell Junctions 30059,Andreaton,03291,Danmark,DK,19610708-0259,+45,436-458-7116,1961-07-08,True
Jenny,Rønning,Christenseneggen 4,Magnusvik,0638,Norge,NO,19820515-3435,+47,+47 39 38 34 76,1982-05-15,True
Jasmine,Söderberg,Bäckgatan 248,Piteå,49429,Sverige,SE,19571123-9118,+46,057-64 72 17,1957-11-23,True
Åsa,Folkesson,Fabriksgränd 4,Södertälje,92782,Sverige,SE,19891003-0927,+46,+46 (0)8 345 297 75,1989-10-03,True
Tore,Madsen,Ahmedstien 53,Aasen,4616,Norge,NO,19470203-2375,+47,497 30 169,1947-02-03,True
Erik,Pålsson,Industrigränd 312,Falun,15345,Sverige,SE,19730309-7367,+46,08-396 22 58,1973-03-09,True
Helene,Andersen,Halvorsenplassen 7H,Ingerfoss,5767,Danmark,NO,19831107-8382,+47,18 20 88 50,1983-11-07,True
Gerd,Nilsen,Isaksenskrenten 49A,Toneberg,0718,Norge,NO,19630502-3183,+47,49150082,1963-05-02,True
Sara,Johansson,Backvägen 90,Jönköping,95669,Sverige,SE,19411023-0549,+46,08-357 600 52,1941-10-23,True
Erik,Lie,Thomassenplassen 2E,Tangen,1940,Norge,NO,19670628-0949,+47,43 74 67 36,1967-06-28,True
Hanna,Eliassen,Eliassenjordet 1F,Thomassen,4774,Norge,NO,19920702-1187,+47,903 49 605,1992-07-02,True
Michael,Madden,Wyatt Row 965,Bradshire,42450,Danmark,DK,19500717-1861,+45,(554)559-2056x796,1950-07-17,True
Lars,Gulbrandsen,Svendsenbråten 7,Hanssen,4526,Norge,NO,19580623-4792,+47,449 14 924,1958-06-23,True
Ragnhild,Myhre,Henriksenmarka 7,Jakobsen,8872,Norge,NO,19771221-2177,+47,40631483,1977-12-21,True
Jessica,Rodriguez,Mathew Points 80711,Henryshire,68808,Danmark,DK,19800515-1338,+45,3417734991,1980-05-15,True
Mohamad,Wilhelmsson,Ängsvägen 6,Uppsala,76577,Sverige,SE,19700318-8208,+46,0509-369 44,1970-03-18,True
Anna,Karlsson,Aspvägen 9,Eskilstuna,13845,Sverige,SE,19620909-8163,+46,073-58 42 69,1962-09-09,True
Jonas,Svendsen,Eriksenhavna 7,Siridal,6503,Norge,NO,19500729-1359,+47,01 41 74 47,1950-07-29,True
Mattias,Tran,Parkgatan 0,Lidköping,45511,Sverige,SE,19941016-6737,+46,051-19 89 61,1994-10-16,True
Magnus,Sjöberg,Parkgatan 823,Helsingborg,45096,Sverige,SE,19530729-2235,+46,0104-744 14,1953-07-29,True
Jennifer,Svärd,Bäckgatan 7,Södertälje,42257,Sverice,SE,19631231-1250,+46,08-69 39 88,1963-12-31,True
Odd,Næss,Abrahamsenskogen 6,Knudsen,4516,Norge,NO,19940602-4806,+47,97730055,1994-06-02,True
Lars,Vestin,Ringvägen 612,Skövde,64542,Sverige,SE,19520329-4723,+46,+46 (0)49 38 93 77,1952-03-29,True
Jessica,Evans,Daniel Freeway 2567,New Joelmouth,25014,Danmark,DK,19810425-0488,+45,801.984.1320,1981-04-25,True
Johan,Johansson,Trädgårdsgränd 151,Sundsvall,73271,Sverige,SE,19440331-1387,+46,08-91 25 45,1944-03-31,True
Hannu,Laitinen,Kimalaisbulevardi 879,Huittinen,45720,Finland,FI,19790620-099A,+358,+358 633943829,1979-06-20,True
Anna,Johansson,Järnvägsstigen 38,Kristianstad,80983,Sverige,SE,19770517-1680,+46,084-56 29 83,1977-05-17,True
Nils,Bakke,Jørgensenmyra 6C,Lunde,6140,Norge,NO,19790328-8506,+47,+4771633950,1979-03-28,True
Marie,Hedberg,Ekstigen 71,Karlskoga,83787,Sverige,SE,19690829-2757,+46,08-852 71 75,1969-08-29,True
Julie,Obrien,Reyes Greens 4925,South Johnchester,57750,Danmark,DK,19481110-5700,+45,468-595-6865,1948-11-10,True
Amanda,Omar,Ängsstigen 771,Linköping,39669,Sverige,SE,19580706-7666,+46,08-508 742 03,1958-07-06,True
Jamie,Cruz,Cochran Walk 391,Finleytown,18943,Danmark,DK,19520423-1930,+45,4837763836,1952-04-23,True
Adam,Clark,Lewis Keys 02314,New Joe,67052,Danmark,DK,19480512-3803,+45,587-441-6474,1948-05-12,True
Ingeborg,Solheim,Sivertsenhagen 8,Gundersen,7660,Norge,NO,19501024-0035,+47,988 49 882,1950-10-24,True
Antero,Hyvönen,Vellikellonkuja 721,Nurmijärvi,72467,Finland,FI,19611017-602W,+358,0764788377,1961-10-17,True
Sara,Magnusson,Furugränd 67,Kristianstad,78906,Sverige,SE,19550910-7636,+46,025-003 01 83,1955-09-10,True
Tobias,Friberg,Järnvägstorget 2,Trollhättan,46871,Sverige,SE,19660617-8155,+46,+46 (0)8 121 949 36,1966-06-17,True
Cecilia,Knutsson,Ängsgränd 54,Falun,65151,Sverige,SE,19660421-4975,+46,+46 (0)619 675 92,1966-04-21,True
Kristina,Nilsson,Backtorget 38,Malmö,35100,Sverige,SE,19461020-3511,+46,+46 (0)15 36 75 05,1946-10-20,True
Angela,Brooks,Michael Springs 570,Brownmouth,24584,Danmark,DK,19811106-6131,+45,(604)856-1314,1981-11-06,True
Jeffery,Wright,Lawrence Mountain 86719,Fuentesside,98694,Danmark,DK,19561204-6385,+45,(244)299-4456,1956-12-04,True
Lena,Sköld,Ängsstigen 163,Eskilstuna,49927,Sverige,SE,19620101-4027,+46,070-840 88 71,1962-01-01,True
Gabriel,Olofsson,Nygatan 699,Falun,53867,Sverige,SE,20000822-9395,+46,070-994 43 57,2000-08-22,True
Anna,Ali,Thorsengropa 4,Pedersen,7834,Norge,NO,19780116-1145,+47,489 22 585,1978-01-16,True
Travis,Parker,Holly Crescent 627,Clarkfurt,23623,Danmark,DK,19690308-0215,+45,3027556125,1969-03-08,True
Elisabeth,Olsson,Skogsgatan 5,Karlskrona,78880,Sverige,SE,19830112-5072,+46,066-439 47 62,1983-01-12,True
Mathias,Nygård,Mikkelsenbråten 34,Tonedal,2000,Norge,NO,19930303-2312,+47,+4709549220,1993-03-03,True
Stein,Haugland,Nygårdløkka 20,Lindamark,1120,Norge,NO,19690426-7637,+47,13 46 91 22,1969-04-26,True
Lisa,Figueroa,Michelle Roads 5945,Herreraberg,15523,Danmark,DK,19731210-2142,+45,2194766367,1973-12-10,True
Vilma,Olsson,Bäckgränd 675,Karlstad,27391,Sverige,SE,19641119-2592,+46,094-516 16 71,1964-11-19,True
Victoria,Miranda,Myers Extensions 777,Lake Timothymouth,94145,Danmark,DK,19801214-7455,+45,+1-832-354-5852,1980-12-14,True
Barbro,Pettersson,Backvägen 263,Mölndal,78006,Sverige,SE,19700115-8349,+46,014-793 02 44,1970-01-15,True
Ronny,Svensson,Ringvägen 9,Linköping,48805,Sverige,SE,19900911-3303,+46,08-23 27 20,1990-09-11,True
Dana,Ellis,Jill Curve 9227,West Casey,14171,Danmark,DK,19410816-3763,+45,001-868-945-9811x9070,1941-08-16,True
Fredrik,Kvist,Bäcktorget 9,Västerås,16239,Sverige,SE,19530403-3514,+46,0486-454 40,1953-04-03,True
Brian,Lopez,Stephanie Extension 39826,Jessicamouth,01983,Danmark,DK,19460416-5661,+45,001-414-705-7097,1946-04-16,True
Ida,Salonen,Gyldéninpolku 37,Isokyrö,86807,Finland,FI,19971004-7532,+358,(+358) 856863028,1997-10-04,True
Anna,Svantesson,Kyrkotorget 05,Kalmar,78077,Sverige,SE,19740710-4453,+46,083-23 45 85,1974-07-10,True
Frank,Dyer,Chelsea Divide 72806,North Donald,90207,Danmark,DK,19511115-5407,+45,001-459-377-4232x373,1951-11-15,True
Magnus,Axelsson,Björkvägen 471,Uppsala,45196,Sverige,SE,19760603-8117,+46,0982-10 61 95,1976-06-03,True
Matti,Niemi,Kolsintie 0,Tuusniemi,90179,Finland,FI,19820825-5307,+358,0312602451,1982-08-25,True
Tapio,Peltola,Haahkakuja 742,Liminka,99372,Finland,FI,19400115-304R,+358,+358008353321,1940-01-15,True
Dag,Ali,Haugenmyra 9,Johnsen,4859,Norge,NO,19490610-7254,+47,98300176,1949-06-10,True
Olivia,Sandoval,Walsh Streets 0122,New Joshua,06415,Danmark,DK,19790428-3492,+45,(670)209-3956x9680,1979-04-28,True
Pål,Rønning,Aligrenda 424,Leiffjord,7662,Norge,NO,19770911-3984,+47,+47 28 90 57 36,1977-09-11,True
Anna,Larsson,Idrottsgatan 132,Varberg,55956,Sverige,SE,19861201-1385,+46,0869-770 84,1986-12-01,True
Ronald,Sundell,Aspstigen 2,Kristianstad,96692,Sverige,SE,19540210-4596,+46,+46 (0)333 612 94,1954-02-10,True
Finn,Fredriksen,Halvorsenengen 7,Toveås,7675,Norge,NO,19750127-8414,+47,94136960,1975-01-27,True
Karin,Lindström,Björkgatan 9,Malmö,28027,Sverige,SE,19721107-7203,+46,+46 (0)312 666 08,1972-11-07,True
Eivind,Berge,Johannessenspranget 2,Hanssen,5220,Norge,NO,19570730-8361,+47,43177382,1957-07-30,True
Alan,Olsson,Trädgårdsvägen 18,Malmö,80704,Sverige,SE,19911109-9713,+46,0735-486 66,1991-11-09,True
Linda,Johannessen,Lienjordet 22,Andreashelle,4208,Norge,NO,19950213-0770,+47,79960275,1995-02-13,True
Stig,Karlsen,Myhreflata 2,Knutnes,3418,Norge,NO,19920518-2593,+47,415 21 709,1992-05-18,True
Inger,Aasen,Sæthermoen 5,Leifdal,7907,Norge,NO,19691024-2092,+47,91477608,1969-10-24,True
Rolf,Kristiansson,Järnvägstorget 8,Alingsås,14368,Sverige,SE,19560225-5829,+46,+46 (0)62 13 13 24,1956-02-25,True
Tommy,Haugen,Birkelandåsen 763,Øyvindnes,2369,Norge,NO,19560630-4435,+47,+47 74 23 56 09,1956-06-30,True
Vegard,Evensen,Martinsenekra 5B,Lien,6209,Norge,NO,19630426-5215,+47,+47 56 00 21 26,1963-04-26,False
Marit,Moen,Bergeskogen 65,Amundsen,1483,Norge,NO,19600419-7116,+47,44355191,1960-04-19,True
Mette,Ahmed,Ruudbakken 93,Vidarfjord,2319,Norge,NO,19690504-3376,+47,56 11 72 84,1969-05-04,True
Per,Sundström,Ängsvägen 07,Trelleborg,90943,Sverige,SE,19570511-1604,+46,08-323 183 77,1957-05-11,True
Mia,Hakala,Dosentinkuja 44,Järvenpää,80533,Finland,FI,19410310-754A,+358,+358 104853572,1941-03-10,True
Kirsi,Lehtimäki,Osmonkatu 16,Kökar,75352,Finland,FI,19630826-7596,+358,039 125 6347,1963-08-26,True
Siri,Rasmussen,Knutsenstykket 120,Alfbø,2492,Norge,NO,19650622-4740,+47,03 45 17 50,1965-06-22,True
Eva,Lind,Skolvägen 234,Borlänge,70748,Sverige,SE,19500905-1913,+46,0517-94 49 99,1950-09-05,True
Anna,Samuelsson,Parkgränd 110,Umeå,63630,Sverige,SE,19410712-1365,46,08-576 841 16,1941-07-12,True
Mikael,Karlsson,Granstigen 0,Eskilstuna,87603,Sverige,SE,19791214-1449,+46,08-758 61 16,1979-12-14,True
Anna,Karlsson,Fabriksgränd 23,Växjö,58653,Sverige,SE,19670317-0282,+46,0851-794 61,1967-03-17,True
Anna,Åkesson,Skogsgatan 4,Malmö,50390,Sverige,SE,19840128-9283,+46,054-36 09 24,1984-01-28,True
Anton,Eriksson,Nytorget 375,Sandviken,48138,Sverige,SE,19790420-0033,+46,08-211 652 25,1979-04-20,True
Kathleen,Taylor,Roger Village 71285,West Sarahmouth,45170,Danmark,DK,19760907-1615,+45,580-984-6016,1976-09-07,True
Andreas,Aasen,Engenvollen 725,Mikkelsen,7889,Norge,NO,19710825-8537,+47,57644482,1971-08-25,True
Kenneth,Sandvik,Hellandgropa 9,Lenevåg,1129,Norge,NO,19570729-5866,+47,904 28 505,1957-07-29,True
Jens,Gundersen,Gundersentjernet 5,Myhre,8291,Norge,NO,19670824-0116,+47,+4716386015,1967-08-24,True
Lilian,Persson,Ängsgränd 851,Eskilstuna,33450,Sverige,SE,19640110-5201,+46,+46 (0)90 93 46 33,1964-01-10,True
Gudrun,Karlsson,Kvarngränd 11,Eskilstuna,67290,Sverige,SE,19630912-6931,+46,+46 (0)774 974 38,1963-09-12,True
Synnøve,Haugen,Jenssenstykket 23,Sofiesund,1133,Norge,NO,19841101-8856,+47,66764219,1984-11-01,True
Robert,Birkeland,Gundersenstubben 6,Hansgrunn,0866,Norge,NO,19950301-9513,+47,47 61 84 25,1995-03-01,True
Daniel,Larsen,Andreassenskrenten 5,Mathisen,1385,Norge,NO,19960404-4812,+47,484 93 842,1996-04-04,True
Angela,Castillo,Michael Avenue 91082,Port Davidchester,10782,Danmark,DK,19861125-1289,+45,001-525-460-4079x66791,1986-11-25,True
Erik,Jakobsson,Backgränd 4,Östersund,28689,Sverige,SE,19450906-7466,+46,08-477 41 31,1945-09-06,True
Marius,Jacobsen,Henriksenhøgda 62,Johannessen,8704,Norge,NO,19650220-3560,+47,47769679,1965-02-20,True
Ryan,Kidd,Mills Radial 123,North Rebecca,64898,Danmark,DK,19590111-0627,+45,(767)708-0562x480,1959-01-11,True
